Rank,Username,Comments,Followers,Likes,Views,Shares,img
117,supercatkei,28,271.4K,4.4K,89.3K,62,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/43155d89eaa905ff92af7c9aa078d828.jpeg
118,sgfoodiefam,39,69K,859,55.9K,699,https://p16-va-tiktok.ibyteimg.com/tos-maliva-avt-0068/dcfff17c3eca11254c7ec32b404ffcbf~c5_720x720.jpeg
119,jammyblauta,188,120.9K,1K,124.7K,85,https://p16-va-tiktok.ibyteimg.com/tos-maliva-avt-0068/738eec3c0531070645a80fd8969a8b13~c5_720x720.jpeg
120,shakshiharendran,61,277.4K,3.5K,78.2K,64,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/9e99f9eece366004737ae63e1bb11f96.jpeg
121,ambii_2601_,149,20.2K,3.6K,43.7K,70,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/9b3f257f1800d41a9dafdd5c4643dc08.jpeg
122,jameswongkl,86,1M,4.1K,29.9K,182,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/55b2d2f4a6436b3df23919498d193a92.jpeg
123,chumma.mama,13,36.1K,2.8K,20.1K,546,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/ee91ef1cfa16cd148f292c6b80595945.jpeg
124,tkk220,41,988.3K,6.7K,48.4K,56,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/8e9ffcdedd0d32565c77329b242ea263.jpeg
125,vindsanity,87,33.7K,4.2K,37.5K,112,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/80e765bf5e349103b68ee315e08022e4.jpeg
126,twosetviolin,41,1.2M,5.7K,42.6K,80,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/smg4c003849f4cd2716a02101bccf546584.jpeg
127,sha0108_,83,196K,5.1K,33.9K,87,https://p16-va-tiktok.ibyteimg.com/tos-useast2a-avt-0068-giso/c62a66b87cabfa7a847c53073ef8fe32~c5_720x720.jpeg
128,karen_k_kiru,58,28.1K,2.6K,34.9K,258,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/46828ba16359098e672ee9eaa767658e.jpeg
129,dumida3011,23,103.9K,2.8K,207.1K,25,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/4b7d5b2f7b22b0d0c826165cb1735de9.jpeg
130,lazada_sg,7,143.4K,969,548.5K,44,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/5990b925e67e15f6d52814fba4e10dad.jpeg
131,reuben2828,29,26.5K,1.7K,46.6K,308,https://p16-va-tiktok.ibyteimg.com/aweme/720x720/tos-alisg-avt-0068/df51e9039a96d29b5e619f06b2fd6ee9.jpeg
